campo;tamanho
tipoRegistro;2
dtPregao;8
codBDI;2
codNegociacao;12
tpMercado;3
nomeResumido;12
especifPapel;10
prazoTotal;3
moedaRef;4
precoAbertura;13
precoMax;13
precoMinimo;13
precoMedio;13
precoUltimo;13
precoOFC;13
precoOFV;13
numeroNegocios;5
qtdeTitulosNegoc;18
volumeNegociado;18
precoExercicio;13
indCorrOp;1
dtVencimento;8
fatorCotacao;7
ptosExercicio;7
codIsin;12
numeroDistPapel;3
